date,name,percentage
2013-12-01,Intel,0.14730000000000001
2013-12-01,NVIDIA,0.345
2013-12-01,Other,1.0
2014-01-01,ATI,0.1305
2014-01-01,Intel,0.1433
2014-01-01,NVIDIA,0.3606
2014-01-01,Other,0.3655
2014-03-01,Other,1.0
2014-04-01,ATI,0.1298
2014-04-01,Intel,0.1549
2014-04-01,NVIDIA,0.3658
2014-04-01,Other,0.3493
2014-05-01,AMD,0.1106
2014-05-01,ATI,0.0059
2014-05-01,Intel,0.1534
2014-05-01,NVIDIA,0.3637
2014-05-01,Other,0.3665
2014-06-01,AMD,0.1106
2014-06-01,ATI,0.0057
2014-06-01,Intel,0.1607
2014-06-01,NVIDIA,0.3516
2014-06-01,Other,0.3714
2014-07-01,AMD,0.1088
2014-07-01,ATI,0.0055
2014-07-01,Intel,0.1715
2014-07-01,NVIDIA,0.3436
2014-07-01,Other,0.3707
2014-08-01,AMD,0.10289999999999999
2014-08-01,ATI,0.0052
2014-08-01,Intel,0.1701
2014-08-01,NVIDIA,0.3498
2014-08-01,Other,0.3719
2014-09-01,AMD,0.2112
2014-09-01,ATI,0.022
2014-09-01,Intel,0.1891
2014-09-01,NVIDIA,0.4446
2014-09-01,Other,0.133
2014-10-01,AMD,0.2108
2014-10-01,ATI,0.0215
2014-10-01,Intel,0.1901
2014-10-01,NVIDIA,0.443
2014-10-01,Other,1.0
2014-11-01,AMD,0.2078
2014-11-01,ATI,0.0196
2014-11-01,Intel,0.1918
2014-11-01,NVIDIA,0.44329999999999997
2014-11-01,Other,0.1374
2014-12-01,AMD,0.205
2014-12-01,ATI,0.019
2014-12-01,Intel,0.1976
2014-12-01,NVIDIA,0.4399
2014-12-01,Other,0.1381
2015-01-01,AMD,0.2058
2015-01-01,ATI,0.0164
2015-01-01,Intel,0.195
2015-01-01,NVIDIA,0.4456
2015-01-01,Other,0.1373
2015-02-01,Intel,0.0519
2015-02-01,Other,0.9481
2015-03-01,Intel,0.0536
2015-03-01,Other,0.9464
2015-04-01,Intel,0.0518
2015-04-01,Other,0.9482
2015-05-01,AMD,0.1852
2015-05-01,ATI,0.0374
2015-05-01,Intel,0.198
2015-05-01,NVIDIA,0.453
2015-05-01,Other,0.1264
2015-06-01,AMD,0.1818
2015-06-01,ATI,0.0363
2015-06-01,Intel,0.1993
2015-06-01,NVIDIA,0.4524
2015-06-01,Other,0.1287
2015-08-01,Intel,0.0471
2015-08-01,Other,0.9529
2015-09-01,AMD,0.1819
2015-09-01,ATI,0.033
2015-09-01,Intel,0.1953
2015-09-01,NVIDIA,0.4619
2015-09-01,Other,0.1261
2015-11-01,AMD,0.1731
2015-11-01,ATI,0.030699999999999998
2015-11-01,Intel,0.1897
2015-11-01,NVIDIA,0.4708
2015-11-01,Other,0.1343
2016-01-01,AMD,0.1733
2016-01-01,ATI,0.03
2016-01-01,Intel,0.186
2016-01-01,NVIDIA,0.4808
2016-01-01,Other,0.1278
2016-02-01,AMD,0.1732
2016-02-01,ATI,0.029500000000000002
2016-02-01,Intel,0.178
2016-02-01,NVIDIA,0.4924
